,mukey,om,cec,ph
184,399778,1.0,22.0,8.0
185,399778,3.0,20.0,6.0
186,3182562,0.0,18.0,8.0
187,2669022,2.0,22.0,7.0
188,403232,2.0,12.0,7.0
189,403236,1.0,18.0,6.0
190,1596039,1.0,19.0,7.0
191,1150813,1.0,19.0,8.0
192,3182568,4.0,25.0,7.0
193,403266,2.0,25.0,6.0
194,399781,1.0,24.0,8.0
195,403268,1.0,18.0,6.0
196,399803,0.0,17.0,8.0
197,403266,0.0,12.0,8.0
198,403236,2.0,12.0,7.0
199,399803,1.0,23.0,8.0
200,403266,0.0,18.0,6.0
201,3182568,0.0,18.0,8.0
202,399803,0.0,18.0,7.0
203,399803,2.0,23.0,6.0
204,396157,5.0,31.0,6.0
205,399803,1.0,24.0,8.0
206,403269,8.0,26.0,7.0
207,399800,0.0,15.0,8.0
208,403236,2.0,21.0,6.0
209,2745864,2.0,32.0,7.0
210,3182562,0.0,20.0,8.0
211,399778,1.0,24.0,7.0
212,399778,0.0,17.0,7.0
213,403240,0.0,3.0,6.0
214,403266,0.0,18.0,6.0
215,399776,2.0,20.0,7.0
216,403232,4.0,21.0,7.0
217,2745864,1.0,27.0,7.0
218,399792,2.0,19.0,8.0
219,183054,0.0,17.0,6.0
220,403266,0.0,18.0,6.0
221,403232,2.0,25.0,7.0
222,399779,2.0,20.0,6.0
223,209019,2.0,25.0,7.0
224,399802,1.0,24.0,8.0
225,399778,3.0,23.0,6.0
226,399778,1.0,24.0,7.0
227,403234,3.0,23.0,7.0
228,399803,1.0,24.0,8.0
229,244688,0.0,18.0,6.0
230,399804,0.0,21.0,8.0
231,3182562,0.0,18.0,8.0
232,1150789,1.0,11.0,8.0
233,183054,0.0,19.0,7.0
234,396153,1.0,33.0,7.0
235,2668945,0.0,25.0,7.0
236,403266,0.0,20.0,6.0
237,3182557,2.0,25.0,7.0
238,403266,4.0,19.0,6.0
239,3182556,4.0,25.0,7.0
240,399776,3.0,20.0,6.0
241,1595801,3.0,26.0,7.0
242,403232,3.0,21.0,7.0
243,2669024,0.0,23.0,8.0
244,2669024,0.0,12.0,8.0
245,1150810,0.0,18.0,8.0
246,1150789,0.0,8.0,8.0
247,183054,2.0,18.0,7.0
248,2669024,2.0,20.0,7.0
249,399778,1.0,24.0,7.0
250,399792,0.0,17.0,7.0
251,403268,0.0,20.0,6.0
252,399800,2.0,17.0,8.0
253,403266,2.0,20.0,6.0
254,403268,4.0,20.0,6.0
