fips_code,precip,max_temp,min_temp,mean_temp
17073,39.370000000000005,74.1,15.2,51.36666666666667
17107,42.2,75.6,20.5,53.833333333333336
17143,43.64,75.4,18.8,53.18333333333334
17163,37.68,78.1,25.1,56.84166666666667
19019,29.43,73.1,9.8,48.35
19047,28.34,74.0,12.6,50.541666666666664
20065,19.24,78.6,22.9,54.59166666666667
20113,30.12,80.3,24.8,57.224999999999994
27013,25.05,73.9,9.9,47.800000000000004
27111,22.35,72.6,5.4,44.449999999999996
